companyLabel,executiveLabel,universityLabel,degreeLabel
Infosys,Salil Parekh,Cornell University,
AOL,Tim Armstrong,Connecticut College,
Abarth,Olivier François,CELSA Paris,
AOL,Tim Armstrong,Lawrence Academy at Groton,
Canonical Ltd.,Jane Silber,Vanderbilt University,
Inditex,Marta Ortega,European Business School London,
ArcelorMittal,Aditya Mittal,The Wharton School,
U.S. Steel,David Burritt,University of Illinois Urbana-Champaign,
SSAB,Olof Faxander,Stockholm University,
DNB Bank,Kjerstin Braathen,centre d'enseignement et de recherche appliqués au management — Business School,
Inditex,Marta Ortega,London Business School,
DNB Bank,Kjerstin Braathen,Skema Business School,
Canonical Ltd.,Jane Silber,Saïd Business School,
Inditex,Marta Ortega,University of London,
International Airlines Group,Luis Gallego,Technical University of Madrid,
Inditex,Marta Ortega,University of A Coruña,
Inditex,Pablo Isla,Our Lady of Remembrance College,
Fiat,Olivier François,Sciences Po,
PNC Financial Services,William S. Demchak,University of Michigan,
Inditex,Pablo Isla,Complutense University of Madrid,
Air Navigation Services of the Czech Republic,Jan Klas,University of Žilina,
U.S. Steel,David Burritt,Bradley University,
Bilfinger SE,Roland Koch,Goethe University Frankfurt,
Commonwealth Bank,Matt Comyn,University of Sydney,
Commonwealth Bank,Ralph Norris,Lynfield College,
Commonwealth Bank,Matt Comyn,Harvard Business School,
Procter & Gamble,Jon Moeller,Cornell University,
Procter & Gamble,Jon Moeller,Cornell University College of Agriculture and Life Sciences,
Gazprom-Media,Aleksandr Zharov,Russian Presidential Academy of National Economy and Public Administration,Candidate of Sciences in Medicine
Commonwealth Bank,Matt Comyn,University of New South Wales,
Berkshire Hathaway,Greg Abel,University of Alberta,
Alto,Martin Imbleau,Université de Montréal,Master of Laws
Macromedia,Stephen Elop,McMaster University,
23andMe,Anne Wojcicki,Yale University,
Macromedia,Rob Burgess,McMaster University,
Alto,Martin Imbleau,Université du Québec à Montréal,Master of Laws
Turkcell,Murat Erkan,Yıldız Technical University,
Cerberus Capital Management,John W. Snow,University of Virginia,
Alto,Martin Imbleau,Université de Montréal,Bachelor of Laws
Q259011,Greg Brown,Rutgers University,
Q259011,Greg Brown,Rutgers Business School – Newark and New Brunswick,
Cerberus Capital Management,John W. Snow,Kenyon College,
23andMe,Anne Wojcicki,Gunn High School,
23andMe,Anne Wojcicki,Jonathan Edwards College,
Cerberus Capital Management,John W. Snow,University of Toledo,
Alto,Martin Imbleau,Université du Québec à Montréal,Bachelor of Laws
Cerberus Capital Management,John W. Snow,George Washington University,
Turkcell,Murat Erkan,Harvard Business School,
Q133894582,Horst Amann,Technical University of Darmstadt,
Cerberus Capital Management,John W. Snow,Gilmour Academy,
Commonwealth Bank,Ian Narev,University of Auckland,
Gazprom-Media,Aleksandr Zharov,South Ural State Medical University,Candidate of Sciences in Medicine
Commonwealth Bank,Ian Narev,University of Cambridge,
Bristol-Myers Squibb,Giovanni Caforio,Sapienza University of Rome,
Viacom,Robert Bakish,Columbia Business School,Master of Business Administration
Commonwealth Bank,David Murray,St Aloysius' College,
American International Group,Peter Zaffino,Boston College,
Commonwealth Bank,Ian Narev,New York University,
AES Corporation,Andrés R. Gluski,Wake Forest University,
AES Corporation,Andrés R. Gluski,University of Virginia,
Viacom,Robert Bakish,Fu Foundation School of Engineering and Applied Science,Master of Business Administration
American International Group,Peter Zaffino,Stern School of Business,
Procter & Gamble,Jon Moeller,Samuel Curtis Johnson Graduate School of Management,
ConocoPhillips,Ryan Lance,Great Falls High School,
Viacom,Robert Bakish,Dwight-Englewood School,Master of Business Administration
Citigroup,Jane Fraser,Harvard Business School,
Citigroup,Jane Fraser,Girton College,
ConocoPhillips,Ryan Lance,Montana Technological University,
Mozilla Corporation,Gary Kovacs,Haskayne School of Business,
Freddie Mac,Donald H. Layton,Massachusetts Institute of Technology,
Cisco,John Chambers,Duke University,
Cisco,John Chambers,West Virginia University,
JPMorgan Chase,Jamie Dimon,Harvard Business School,
JPMorgan Chase,Jamie Dimon,Tufts University,
JPMorgan Chase,Jamie Dimon,Browning School,
Stellantis North America,Michael Manley,Ashridge Executive Education,
Rafael Advanced Defense Systems,Yoav Har-Even,Tel Aviv University,
News Corporation,Rupert Murdoch,University of Oxford,
RWE,Rolf Martin Schmitz,RWTH Aachen University,doctorate
Mozilla Corporation,Laura Chambers,Stanford Graduate School of Business,
Pfizer,Albert Bourla,Aristotle University of Thessaloniki,Doctor of Philosophy
Cisco,John Morgridge,Stanford University,
Mozilla Corporation,John Lilly,Douglas MacArthur High School,
Mozilla Corporation,Laura Chambers,University of Melbourne,
Huawei,Ren Zhengfei,Chongqing Jianzhu University,
Diageo,Ivan Menezes,St. Stephen's College,
Cisco,John Chambers,West Virginia University College of Law,
SunTrust Banks,William H. Rogers Jr.,Georgia State University,
SunTrust Banks,William H. Rogers Jr.,University of North Carolina at Chapel Hill,
Cisco,John Morgridge,Stanford Graduate School of Business,
Cisco,Chuck Robbins,University of North Carolina at Chapel Hill,
Novo Nordisk,Mike Doustdar,Webster University - Vienna Campus,
News Corporation,Rupert Murdoch,Geelong Grammar School,
AstraZeneca,Pascal Soriot,École nationale vétérinaire d'Alfort,
AstraZeneca,Pascal Soriot,HEC Paris,
Fannie Mae,Timothy Mayopoulos,Cornell University,
News Corporation,Rupert Murdoch,Worcester College,
Zim Integrated Shipping Services Ltd,Eliyahu Glickman,Hebrew Reali School,
Koninklijke Philips NV,Frans van Houten,Erasmus University Rotterdam,
Cisco,Chuck Robbins,Rocky Mount High School,
Fannie Mae,Timothy Mayopoulos,New York University School of Law,
Mozilla Corporation,Mitchell Baker,"University of California, Berkeley",
HSBC,Stuart Gulliver,Worcester College,Master of Jurisprudence
Moderna,Stéphane Bancel,University of Minnesota,
Cisco,John Morgridge,Wauwatosa East High School,
Cisco,John Morgridge,Wisconsin School of Business,
Moderna,Stéphane Bancel,École Centrale Paris,
The Royal Bank of Scotland,Ross McEwan,Massey University,
Cisco,John Morgridge,University of Wisconsin–Madison,
Mozilla Corporation,Chris Beard,University of Edinburgh,
Moderna,Stéphane Bancel,Lycée privé Sainte-Geneviève,
NetEase,Ding Lei,University of Electronic Science and Technology of China,
Moderna,Stéphane Bancel,Harvard Business School,
Deutsche Post AG,Frank Appel,Ludwig-Maximilians-Universität München,
Kroger,Rodney McMullen,University of Kentucky,
Mozilla Corporation,Gary Kovacs,University of Calgary,
Mozilla Corporation,Anthony Enzor-DeMeo,MIT Sloan School of Management,
Koninklijke Philips NV,Roy Jakobs,Radboud University,
Mozilla Corporation,Chris Beard,University of Ottawa,
JPMorgan Chase,Jamie Dimon,Harvard University,
Mozilla Corporation,Chris Beard,ESADE,
The Royal Bank of Scotland,Ross McEwan,Harvard Business School,
AC Sparta Prague,Daniel Křetínský,University of Burgundy Europe,
The Royal Bank of Scotland,Ross McEwan,Hastings Boys' High School,
Biogen,Michel Vounatsos,Bordeaux Segalen University,
Mozilla Corporation,Brendan Eich,University of Illinois Urbana-Champaign,
Hoffmann-La Roche,Thomas Schinecker,New York University,
Mozilla Corporation,Anthony Enzor-DeMeo,Champlain College,
Mozilla Corporation,Brendan Eich,Ellwood P. Cubberley High School,
AbbVie,Richard A. Gonzalez,University of Houston,
Biogen,Michel Vounatsos,HEC Paris,
AC Sparta Prague,Daniel Křetínský,Masaryk University,
Mozilla Corporation,Brendan Eich,Santa Clara University,
Sartorius AG,Joachim Kreuzburg,Leibniz University Hannover,Doctor of Political Science
Stellantis North America,Michael Manley,London South Bank University,
Cisco,John Chambers,Indiana University Kelley School of Business,
Mozilla Corporation,John Lilly,Stanford University,
Heineken International,Jean-François van Boxmeer,University of Namur,
Hoffmann-La Roche,Thomas Schinecker,University of Salzburg,
Cisco,John Chambers,Indiana University,
Q483551,Doug McMillon,Sam M. Walton College of Business,
Gap Inc.,Art Peck,Harvard Business School,
"Patagonia, Inc.",Q108434845,Cocoa Beach High School,
NeXT,Steve Jobs,Reed College,
"Patagonia, Inc.",Q108434845,S.J. Quinney College of Law,
SES S.A.,Adel Al-Saleh,Boston University,
NeXT,Steve Jobs,Homestead High School,
Douglas Holding,Tina Müller,Harvard Business School,
Office Depot,Steve Odland,Kellogg School of Management,
SES S.A.,Adel Al-Saleh,Florida Atlantic University,
Office Depot,Steve Odland,University of Notre Dame,
Sprint Corporation,Marcelo Claure,University of Massachusetts Lowell,
Akamai Technologies,F. Thomson Leighton,Massachusetts Institute of Technology,
Dollarama,Neil Rossy,Queen's University,
VF Corporation,Bracken Darrell,Harvard University,
Nokia Networks,Rajeev Suri,Manipal Academy of Higher Education,
Douglas Holding,Tina Müller,Trier University,
Air Products & Chemicals,Seifollah Ghasemi,Stanford University,
Babcock International,Archie Bethel,Hamilton Academy,
Merrill,John Alexander Thain,Massachusetts Institute of Technology,
Merrill,John Alexander Thain,Harvard University,
National Semiconductor,Gil Amelio,Georgia Tech,
Merrill,John Alexander Thain,Yale University,
Nokia Networks,Rajeev Suri,Manipal Institute of Technology,
Merrill,John Alexander Thain,Howard University,
The Co-operative Group,Shirine Khoury-Haq,Australian National University,
Babcock International,Archie Bethel,University of Strathclyde,
VF Corporation,Bracken Darrell,Hendrix College,
NeXT,Steve Jobs,De Anza College,
Sprint Corporation,Marcelo Claure,Bentley University,
The Co-operative Group,Shirine Khoury-Haq,Ohio State University,
Akamai Technologies,F. Thomson Leighton,Princeton University,
Morgan Stanley,Ted Pick,Middlebury College,
Best Buy,Hubert Joly,Sciences Po,
Best Buy,Hubert Joly,Lycée Louis-le-Grand,
The Co-operative Group,Shirine Khoury-Haq,University of the West of England,
National Semiconductor,Charles E. Sporck,Cornell University,
Enron,Jeffrey Skilling,Harvard University,
Česká televize,Jan Souček,Masaryk University Faculty of Law,
Enron,Jeffrey Skilling,Southern Methodist University,
Jefferies & Company,Richard B. Handler,Stanford University,
Merrill,John Alexander Thain,Antioch Community High School,
Merrill,John Alexander Thain,Harvard Business School,
ČEZ Group,Daniel Beneš,VSB – Technical University of Ostrava,
Air Products & Chemicals,Seifollah Ghasemi,Petroleum University of Technology,
Jefferies & Company,Richard B. Handler,University of Rochester,
"Crocs, Inc.",Andrew Rees,Imperial College London,
Morgan Stanley,Ted Pick,Harvard Business School,
Best Buy,Hubert Joly,HEC Paris,
Jefferies & Company,Richard B. Handler,Stanford Graduate School of Business,
Jefferies & Company,Richard B. Handler,Pascack Hills High School,
Agrokor,Ivica Todorić,"Faculty of Economics and Business, University of Zagreb",
Q483551,Doug McMillon,Bentonville High School,
PepsiCo,Ramon Laguarta,University Ramon Llull,
Lukoil,Vagit Alekperov,Azerbaijan State Oil and Industrial University,Doctor of Economics
Enron,Jeffrey Skilling,Harvard Business School,
Enron,Jeffrey Skilling,Cox School of Business,
Q483551,Doug McMillon,University of Tulsa,
"Patagonia, Inc.",Q108434845,Florida Institute of Technology,
Gap Inc.,Art Peck,Occidental College,
PepsiCo,Ramon Laguarta,ESADE Business School,
PepsiCo,Ramon Laguarta,Thunderbird School of Global Management,
Enron,Jeffrey Skilling,West Aurora High School,
PepsiCo,Ramon Laguarta,ESADE,
McKinsey & Company,Bob Sternfels,Worcester College,
Douglas Holding,Tina Müller,University of Lyon,
Douglas Holding,Tina Müller,Stanford University,
"Patagonia, Inc.",Q108434845,University of North Carolina at Charlotte,
L.L.Bean,Christopher McCormick,Harvard University,
onet.pl,Aleksander Kutela,Krakow University of Economics,
onet.pl,Aleksander Kutela,London Business School,
Chipotle Mexican Grill,Steve Ells,University of Colorado,
Infrabel,Benoît Gilson,"Lycée Léonie de Waha, Liège",
Automatic Data Processing,Frank Lautenberg,Columbia University,
Bank of America,Brian Moynihan,Brown University,
Foxconn,Terry Gou,New Taipei Municipal Banqiao Senior High School,
Foxconn,Terry Gou,Puqian Elementary School,
Severn Trent,Liv Garfield,Murray Edwards College,
Caterpillar Inc.,Jim Umpleby,Highland High School,
Bank of America,Brian Moynihan,Marietta High School,
Bank of America,Brian Moynihan,Notre Dame Law School,
Caterpillar Inc.,Jim Umpleby,Rose–Hulman Institute of Technology,
onet.pl,Aleksander Kutela,Harvard Business School,
Automatic Data Processing,Josh S. Weston,City College of New York,
Chipotle Mexican Grill,Steve Ells,The Culinary Institute of America at Hyde Park,
Chipotle Mexican Grill,Steve Ells,Boulder High School,
Goodwill Industries,Jim Gibbons,Purdue University,
Automatic Data Processing,Maria Black,University of Colorado Boulder,Bachelor of Arts
Severn Trent,Liv Garfield,Bootham School,
Foxconn,Terry Gou,Taipei University of Marine Technology,
Chipotle Mexican Grill,Steve Ells,University of Colorado Boulder,
L.L.Bean,Christopher McCormick,Harvard Business School,
onet.pl,Aleksander Kutela,Cyprian Kamil Norwid XII Comprehensive School in Cracow,
Deere & Company,John May,University of Maine,
Standard Life,Stephen Bird,Cardiff University,
Automatic Data Processing,Josh S. Weston,Brooklyn Technical High School,
Automatic Data Processing,Frank Lautenberg,Nutley High School,
Mastercard,Michael Miebach,Harvard Business School,
Goodwill Industries,Jim Gibbons,Roncalli High School,
Goodwill Industries,Jim Gibbons,Harvard Business School,
BCP Group,Naziha Belkeziz,Paris Dauphine University,
Mastercard,Michael Miebach,University of Passau,
Tesla,Elon Musk,Stanford University,
Automatic Data Processing,Frank Lautenberg,Columbia Business School,
Hubert Burda Media Holding,Franz Burda sr.,University of Freiburg,Doctor
Tesla,Elon Musk,Smith School of Business,
Deere & Company,John May,University of New Hampshire,
Automatic Data Processing,Josh S. Weston,University of New Zealand,
SSE plc,Alistair Phillips-Davies,St Catharine's College,
BCP Group,Naziha Belkeziz,Conservatoire national des Arts et Métiers,
Tesla,Elon Musk,The Wharton School,
Tesla,Elon Musk,Queen's University,
State Grid Corporation of China,Shu Yinbiao,Wuhan University,
Automatic Data Processing,Carlos Rodriguez,Harvard University,
Tesla,Elon Musk,University of Pennsylvania,
Automatic Data Processing,Henry Taub,New York University,
Automatic Data Processing,Henry Taub,Eastside High School,
BCP Group,Naziha Belkeziz,Hassan II University of Casablanca,
Deloitte,Punit Renjen,Atkinson Graduate School of Management,
Automatic Data Processing,Gary C. Butler,Terry College of Business,
Automatic Data Processing,Gary C. Butler,Georgia Tech,
PetroChina Company Limited,Zhou Jiping,China University of Petroleum (Beijing),
Tesla,Elon Musk,Bryanston High School,
Automatic Data Processing,Carlos Rodriguez,Christopher Columbus High School,
Deloitte,Punit Renjen,"The Lawrence School, Sanawar",
Tesla,Elon Musk,University of Pretoria,
Tesla,Elon Musk,Pretoria Boys High School,
Naturgy,Francisco Reynés,Polytechnic University of Catalonia,
Deloitte,Punit Renjen,Willamette University,
Tesla,Elon Musk,Waterkloof House Preparatory School,
Bank of America,Brian Moynihan,University of Notre Dame,
Automatic Data Processing,Henry Taub,Stern School of Business,
Automatic Data Processing,Carlos Rodriguez,Harvard Business School,
Red Hat,Matt Hicks,Georgia Tech,
Cencora,Steven H. Collis,University of the Witwatersrand,
Rite Aid,Mary F. Sammons,Marylhurst University,
Maroc Telecom,Abdeslam Ahizoune,Télécom Paris,
Infrabel,Benoît Gilson,University of Liège,
Tesco,Ken Murphy,Harvard Business School,
onet.pl,Aleksander Kutela,Stanford Graduate School of Business,
Illume,Pertti Veijalainen,"Aalto University School of Arts, Design and Architecture",
CVS Health,David Joyner,Texas Tech University,
Aena,Maurici Lucena Betriu,CEMFI,
Assicurazioni Generali,Philippe Donnet,École polytechnique,
Comarch,Janusz Filipiak,Q11710558,scientific professorship degree
Polish Security Printing Works,Jakub Skiba,John Paul II Catholic University of Lublin,doctorate
Bridgewater Associates,David H. McCormick,Princeton School of Public and International Affairs,
uBreakiFix,Justin Wetherill,University of Central Florida,
BHP Group,Mike Henry,University of British Columbia,
Motorola Solutions,Greg Brown,Rutgers University,
