companyLabel,executiveLabel,universityLabel,degreeLabel
Samsung Electronics,Lee Jae-yong,Keio University,
Toshiba,Nobuaki Kurumatani,University of Tokyo,
Associated British Foods,George G. Weston,Harvard University,
Quora,Adam D'Angelo,California Institute of Technology,
Associated British Foods,George G. Weston,Westminster School,
Amazon,Andy Jassy,Harvard Business School,
Apple Inc.,Tim Cook,Fuqua School of Business,
Quora,Adam D'Angelo,Phillips Exeter Academy,
General Electric,H. Lawrence Culp Jr.,Washington College,
Amazon,Jeff Bezos,Miami Palmetto High School,
Amazon,Jeff Bezos,River Oaks Elementary School,
Aetna,Mark T. Bertolini,Wayne State University,
Associated British Foods,George G. Weston,New College,
Mercedes-Benz Group,Ola Källenius,University of St. Gallen,
Abarth,Olivier François,Sciences Po,
Aetna,Mark T. Bertolini,Cornell University,
Apple Inc.,Tim Cook,Robertsdale High School,
Apple Inc.,Tim Cook,Rostrevor College,
Lenovo,Yang Yuanqing,Shanghai Jiao Tong University,
BASF,Martin Brudermüller,Karlsruhe Institute of Technology,
Infosys,Salil Parekh,Indian Institute of Technology Bombay,
General Electric,H. Lawrence Culp Jr.,Harvard Business School,
Abarth,Olivier François,Paris Dauphine University,
SABMiller,Alan Clark,University of South Africa,
Associated British Foods,George G. Weston,Harvard Business School,
SSAB,Olof Faxander,Royal Institute of Technology,
Canonical Ltd.,Jane Silber,Haverford College,
